Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,vehicle_price_midpoint,coverage_multiplier,severity_proxy,severity_bucket,days_policy_accident_numeric,days_policy_claim_numeric,quick_claim_flag,filing_delay_flag,past_claims_numeric,repeat_offender_flag,address_change_numeric,recent_address_change_flag,no_evidence_flag,evidence_score,vehicle_age_numeric,high_value_vehicle_flag,policyholder_age_numeric,young_driver_flag,suspicion_score,fault_x_basepolicy,make_fraud_rate,month_numeric,weekday_numeric,FraudFound_P,curation_category
May,2,Wednesday,Honda,Rural,Friday,May,3,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,7614,14,400,1,more than 30,more than 30,2 to 4,new,16 to 17,Yes,No,External,none,no change,1 vehicle,1995,Liability,80000,0.4,32000,High,4,4,0,1,2,0,0,0,0,1,0,1,0,1,0,Policy Holder_Liability,0.063905748,5,2,0,correct
Aug,1,Saturday,Pontiac,Rural,Monday,Aug,2,Female,Single,34,Third Party,Sedan - All Perils,Sedan,more than 69000,2553,16,400,3,more than 30,more than 30,1,6 years,31 to 35,Yes,Yes,External,none,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,1,0,0,0,0,2,6,1,4,0,0,Third Party_All Perils,0.055512119,8,5,0,correct
Nov,1,Tuesday,Mazda,Rural,Friday,Nov,1,Male,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,14283,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,1996,Liability,34500,0.4,13800,Low,4,4,0,1,2,0,0,0,0,1,7,0,4,0,0,Third Party_Liability,0.052251487,11,1,0,correct
Nov,2,Friday,Accura,Urban,Monday,Nov,2,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,58,11,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,80000,0.7,56000,High,4,4,0,1,2,0,0,0,1,0,7,1,5,0,1,Policy Holder_Collision,0.125,11,4,0,escalate
Jul,1,Thursday,Pontiac,Rural,Monday,Oct,3,Female,Single,22,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2741,15,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,Yes,No,External,none,no change,1 vehicle,1994,Liability,24500,0.4,9800,Low,4,4,0,1,2,0,0,0,0,1,5,0,3,0,0,Policy Holder_Liability,0.055512119,7,3,0,correct
Jan,3,Wednesday,Honda,Urban,Monday,Jan,4,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,2,15,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,80000,0.7,56000,High,4,4,0,1,0,0,0,0,0,1,6,1,4,0,0,Policy Holder_Collision,0.063905748,1,2,0,correct
Sep,1,Tuesday,Mazda,Urban,Tuesday,Sep,1,Female,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1279,16,400,2,more than 30,more than 30,1,6 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,1,0,0,0,0,1,6,0,4,0,0,Policy Holder_Collision,0.052251487,9,1,0,correct
Dec,2,Monday,Honda,Urban,Wednesday,Dec,3,Male,Married,35,Policy Holder,Sedan - Liability,Sport,more than 69000,9585,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1995,Liability,80000,0.4,32000,High,4,4,0,1,2,0,0,0,0,1,6,1,4,0,0,Policy Holder_Liability,0.063905748,12,0,0,correct
Feb,3,Thursday,Accura,Rural,Friday,Feb,3,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,248,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,34500,0.4,13800,Low,4,4,0,1,2,0,0,0,1,0,7,0,5,0,1,Policy Holder_Liability,0.125,2,3,0,escalate
Nov,4,Friday,Mazda,Urban,Thursday,Nov,5,Male,Single,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1103,2,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,2,0,0,0,0,1,6,0,5,0,0,Policy Holder_Collision,0.052251487,11,4,0,correct
Nov,5,Tuesday,Pontiac,Urban,Tuesday,Nov,5,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,117,12,400,2,more than 30,more than 30,1,7 years,31 to 35,No,Yes,External,more than 5,no change,1 vehicle,1994,Collision,34500,0.7,24150,Medium,4,4,0,1,1,0,0,0,0,1,7,0,4,0,0,Third Party_Collision,0.055512119,11,1,0,correct
Sep,3,Wednesday,Ford,Urban,Wednesday,Sep,3,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,6570,14,400,1,more than 30,more than 30,1,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1995,Liability,34500,0.4,13800,Low,4,4,0,1,1,0,0,0,0,1,6,0,5,0,0,Policy Holder_Liability,0.073333333,9,2,0,correct
Apr,5,Saturday,BMW,Urban,Tuesday,May,2,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,11901,15,400,2,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,24500,1.0,24500,Medium,4,4,0,1,2,0,0,0,1,0,5,0,5,0,1,Policy Holder_All Perils,0.066666667,4,5,1,escalate
Sep,1,Saturday,Mazda,Rural,Monday,Sep,3,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1569,9,400,4,more than 30,more than 30,2 to 4,6 years,41 to 50,Yes,Yes,External,more than 5,no change,1 vehicle,1994,Liability,24500,0.4,9800,Low,4,4,0,1,2,0,0,0,0,2,6,0,6,0,0,Policy Holder_Liability,0.052251487,9,5,0,correct
Mar,5,Thursday,Mazda,Urban,Monday,Apr,1,Female,Married,46,Third Party,Sedan - Liability,Sport,20000 to 29000,2749,5,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,Yes,Yes,Internal,none,no change,1 vehicle,1994,Liability,24500,0.4,9800,Low,4,4,0,1,2,0,0,0,0,2,7,0,6,0,0,Third Party_Liability,0.052251487,3,3,0,correct
Feb,4,Wednesday,Saab,Urban,Friday,Mar,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10465,11,400,4,more than 30,more than 30,1,7 years,36 to 40,No,Yes,External,3 to 5,no change,1 vehicle,1995,Collision,34500,0.7,24150,Medium,4,4,0,1,1,0,0,0,0,1,7,0,5,0,0,Policy Holder_Collision,0.101851852,2,2,0,correct
Sep,4,Wednesday,Honda,Urban,Thursday,Oct,2,Male,Married,52,Third Party,Sedan - All Perils,Sedan,less than 20000,3769,10,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,All Perils,15000,1.0,15000,Low,4,4,0,1,2,0,0,0,0,1,7,0,6,0,0,Third Party_All Perils,0.063905748,9,2,0,correct
Mar,4,Saturday,Ford,Urban,Saturday,Mar,4,Male,Married,44,Third Party,Sedan - Collision,Sedan,40000 to 59000,11048,11,400,4,more than 30,more than 30,1,more than 7,36 to 40,Yes,Yes,External,none,no change,1 vehicle,1995,Collision,49500,0.7,34650,High,4,4,0,1,1,0,0,0,0,2,8,0,5,0,0,Third Party_Collision,0.073333333,3,5,0,correct
Jul,3,Monday,Accura,Urban,Tuesday,Jul,3,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3384,14,400,4,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,24500,1.0,24500,Medium,4,4,0,1,1,0,0,0,0,1,8,0,7,0,0,Policy Holder_All Perils,0.125,7,0,0,correct
Nov,2,Saturday,Mazda,Urban,Monday,Nov,3,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2563,15,400,2,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,15000,1.0,15000,Low,4,4,0,1,0,0,1,0,0,1,7,0,5,0,0,Policy Holder_All Perils,0.052251487,11,5,0,correct
Aug,3,Thursday,Dodge,Urban,Friday,Aug,3,Male,Single,24,Third Party,Sedan - Collision,Sedan,30000 to 39000,9410,9,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,Yes,No,External,more than 5,no change,1 vehicle,1995,Collision,34500,0.7,24150,Medium,4,4,0,1,2,0,0,0,0,1,5,0,3,0,0,Third Party_Collision,0.018348624,8,3,0,correct
Apr,2,Wednesday,Accura,Urban,Friday,Apr,4,Male,Single,27,Third Party,Sedan - All Perils,Sedan,30000 to 39000,7678,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1995,All Perils,34500,1.0,34500,High,4,4,0,1,2,0,0,0,0,1,6,0,4,0,0,Third Party_All Perils,0.125,4,2,0,correct
Oct,3,Monday,Ford,Rural,Tuesday,Oct,3,Male,Married,47,Third Party,Sedan - All Perils,Sedan,40000 to 59000,1430,14,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,Yes,External,more than 5,no change,1 vehicle,1994,All Perils,49500,1.0,49500,High,4,4,0,1,0,0,0,0,0,1,8,0,6,0,0,Third Party_All Perils,0.073333333,10,0,0,correct
Feb,3,Saturday,Accura,Urban,Thursday,Feb,4,Male,Married,61,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,10184,8,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,34500,1.0,34500,High,4,4,0,1,3,1,0,0,1,0,8,0,7,0,2,Policy Holder_All Perils,0.125,2,5,1,fraud
Nov,4,Thursday,Accura,Rural,Tuesday,Jan,2,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,114,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,0,0,0,0,1,0,8,1,7,0,1,Policy Holder_All Perils,0.125,11,3,1,escalate
Jul,2,Monday,Pontiac,Rural,Monday,Jul,3,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,7451,14,400,1,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision,24500,0.7,17150,Medium,4,4,0,1,0,0,0,0,0,1,8,0,6,0,0,Policy Holder_Collision,0.055512119,7,0,0,correct
Jun,3,Friday,Accura,Urban,Monday,Jul,4,Male,Married,51,Policy Holder,Utility - All Perils,Utility,more than 69000,4551,4,400,4,15 to 30,more than 30,1,5 years,41 to 50,No,No,External,none,1 year,1 vehicle,1994,All Perils,80000,1.0,80000,High,3,4,0,1,1,0,3,1,1,0,5,1,6,0,2,Policy Holder_All Perils,0.125,6,4,1,fraud
Nov,3,Wednesday,Pontiac,Urban,Friday,Nov,3,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,5075,7,400,4,more than 30,more than 30,1,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,Liability,34500,0.4,13800,Low,4,4,0,1,1,0,0,0,0,1,7,0,5,0,0,Policy Holder_Liability,0.055512119,11,2,0,correct
Jan,4,Saturday,Dodge,Urban,Monday,Mar,1,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,127,15,400,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,none,4 to 8 years,2 vehicles,1994,Collision,34500,0.7,24150,Medium,4,4,0,1,0,0,1,0,0,1,8,0,6,0,0,Policy Holder_Collision,0.018348624,1,5,0,correct
Dec,4,Monday,Mazda,Rural,Tuesday,Dec,4,Male,Single,22,Third Party,Sedan - Liability,Sport,20000 to 29000,9992,3,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,Yes,No,External,1 to 2,no change,1 vehicle,1995,Liability,24500,0.4,9800,Low,4,4,0,1,2,0,0,0,0,1,5,0,3,0,0,Third Party_Liability,0.052251487,12,0,0,correct
Apr,2,Sunday,Pontiac,Urban,Wednesday,Apr,2,Male,Single,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2737,16,400,1,more than 30,more than 30,none,7 years,31 to 35,Yes,Yes,External,3 to 5,no change,1 vehicle,1994,All Perils,24500,1.0,24500,Medium,4,4,0,1,0,0,0,0,0,2,7,0,4,0,0,Third Party_All Perils,0.055512119,4,6,0,correct
Jul,5,Saturday,Chevrolet,Urban,Monday,Jul,5,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1317,10,400,3,more than 30,more than 30,1,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,1,0,0,0,0,1,7,0,4,0,0,Policy Holder_Collision,0.055919096,7,5,0,correct
Apr,2,Tuesday,Accura,Rural,Wednesday,Apr,3,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2809,10,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,34500,0.7,24150,Medium,4,4,0,1,2,0,0,0,1,0,8,0,6,0,1,Policy Holder_Collision,0.125,4,1,1,escalate
Oct,3,Thursday,Mazda,Urban,Wednesday,Oct,4,Male,Married,49,Third Party,Sedan - All Perils,Sedan,more than 69000,2387,12,400,1,more than 30,more than 30,none,7 years,41 to 50,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,0,0,0,0,0,1,7,1,6,0,0,Third Party_All Perils,0.052251487,10,3,0,correct
